"File","27 -> 27  Al  [ H2 ]","31 -> 47  P  [ N2O ]","45 -> 61  Sc  [ N2O ]","56 -> 56  Fe  [ H2 ]","59  Co  [ He ]","60  Ni  [ He ]","65  Cu  [ He ]","66  Zn  [ He ]","69 -> 69  Ga  [ N2O ]","71 -> 71  Ga  [ N2O ]","78 -> 78  Se  [ H2 ]","85  Rb  [ He ]","88  Sr  [ He ]","89 -> 105  Y  [ N2O ]","90 -> 106  Zr  [ N2O ]","111  Cd  [ He ]","121  Sb  [ He ]","125  Te  [ He ]","130 -> 130  Te  [ N2O ]","137 -> 137  Ba  [ N2O ]","139 -> 155  La  [ N2O ]","140 -> 156  Ce  [ N2O ]","141 -> 157  Pr  [ N2O ]","146 -> 162  Nd  [ N2O ]","147 -> 163  Sm  [ N2O ]","153 -> 169  Eu  [ N2O ]","157 -> 173  Gd  [ N2O ]","159 -> 175  Tb  [ N2O ]","163 -> 179  Dy  [ N2O ]","165 -> 181  Ho  [ N2O ]","166 -> 182  Er  [ N2O ]","169 -> 185  Tm  [ N2O ]","172 -> 188  Yb  [ N2O ]","175 -> 191  Lu  [ N2O ]","101  Ru  [ He ]","105  Pd  [ He ]","185 -> 217  Re  [ N2O ]","195  Pt  [ He ]","197  Au  [ He ]","200 -> 200  Hg  [ H2 ]","202 -> 202  Hg  [ H2 ]","205  Tl  [ He ]","206  Pb  [ He ]","107  Ag  [ He ]","208  Pb  [ He ]","209  Bi  [ He ]","232  Th  [ He ]","238  U  [ He ]"
"USE-01-R1",5.86001131136544,4.94852874034537,2.37719599284859,5.84461367330242,3.43377191390851,3.9536311953702,4.71409942637867,5.2192648390914,2.03878019335139,2.31038076055866,2.14730507455302,3.00648575390733,4.20170690438704,2.67827038613144,3.29652080379071,0.890544516159413,2.09645299286507,1.24017626666764,0.771903662210184,4.18682090737645,2.90102952733828,3.29836670506373,2.28014853943436,2.7796360864829,2.0487204022563,1.33819308950461,2.0114135954476,1.18911852574494,1.91482641635315,1.21993437940836,1.67839582479345,0.807891934047427,1.59766048631074,0.784712062364547,-0.934885246522087,1.53107545870117,0.709693689667644,0.355025060421289,-1.41652776255884,1.31356119808419,1.46578349357976,0.932442976078681,3.71021961634571,1.07790615495503,3.6651892848025,1.11964266452701,2.27044751236792,1.82357372046368
"USE-01-R2",5.69622466980455,4.9286570529645,2.29189016025067,5.70116650804817,3.38353386707772,3.85594457239064,5.06587440319191,5.19850126535894,1.88383088405397,2.19607937655998,2.18598701948979,2.93086549199956,4.25345886863752,2.55628864406435,3.20930259527394,1.34442393206478,2.03625539159363,0.579202876383742,1.01811931069029,4.12648810623577,2.73818936580187,3.15458511303094,2.07955522992048,2.59510250772538,1.81387067688986,1.21675263175015,1.84645583472231,0.986608762104043,1.75293107060837,1.07530071358176,1.5076965379337,0.728923581867161,1.47695929002421,0.619443568828859,-0.934885246522087,1.60081485726106,0.709693689667644,0.088195107267843,-1.41652776255884,1.05557461813018,1.0643730789156,0.821943488875449,3.65250946511677,1.07556831664997,3.60783049250496,0.265918089082066,2.11061303843762,1.74166720344428
"USE-01-R3",6.02344319284432,5.16481872544398,2.59364695653848,5.97846878823091,3.55806645443172,3.87610715496033,4.99819515899805,5.20328981648017,2.23187861881604,2.50809838266193,2.43622335864728,3.22954194763845,4.48356997894142,2.8415519255734,3.34657958948439,1.46478880701845,2.03732481966372,1.40196036916738,1.03368803373109,4.37716123909516,2.99618177849619,3.39342520114812,2.34143968777037,2.85908097309532,2.12661160451265,1.5177623030914,2.10282598944255,1.28176580232716,2.04383840268299,1.38460157180588,1.82386496874798,1.00933767452036,1.72899650341909,1.01069234991421,-0.128416329514814,1.79289089761908,1.11564973613532,0.578265209513354,-1.41652776255884,0.981773027700612,0.999949393316422,1.09738361863836,3.83108350528009,1.34364873362333,3.78972592472484,0.907463606527829,2.39936475169595,2.00497778207117
"USE-02-R1",5.95658226256214,4.98504502656725,2.52025620047502,5.76172816006375,2.683091866879,2.84045519895861,4.5210508000972,4.48312431467804,1.99035760110024,2.36121374434029,1.75277777245312,3.07801462329866,4.11666505840846,2.71354008940205,3.68569538687061,1.36824820380221,2.82230827103305,0.579202876383742,0.751399436298863,4.03822274123246,2.72322901808802,3.13909607838295,2.12433682366386,2.65580719662449,1.95068962551498,1.32396138727738,1.92421269072088,1.15270128795936,1.91666202516108,1.23915336630306,1.65676955984713,0.807978544328851,1.65335698962014,0.787602591074398,-0.934885246522087,1.57200656209857,0.709693689667644,1.04395925232011,1.51676233505828,-2.24969918391378,-0.886502503402452,0.919002488639761,3.69029884067286,1.13999701265605,3.64429069534725,3.20552506743195,2.37647775675599,1.79484687133075
"USE-02-R2",6.07843914891207,5.08773477677345,2.63221184332831,5.86728880226774,2.87077277225992,2.99111119807175,4.67779107377047,4.58085182467912,2.12811925145575,2.49486056802949,1.8609602529591,3.20886608431157,4.24466410835151,2.86038612457948,3.76037693055279,1.44369002401131,2.19371184779314,0.880232872047723,-0.874520066371068,4.10957324703593,2.89013710753684,3.30614037408662,2.29977743379317,2.83624157025458,2.10519029803144,1.46038650211895,2.09589741900183,1.31071418462427,2.03146823214772,1.3545212934556,1.84463699259728,1.04694922201777,1.71552312438954,0.921755123902839,-0.633855250858106,1.63115256050745,0.709693689667644,0.993315176085306,1.60704858432316,-2.24969918391378,-0.886502503402452,1.0798970854197,3.82277171194566,2.6847190566201,3.77642754113175,3.26179689972897,2.512707374012,1.90263153631309
"USE-02-R3",6.00663326884485,5.10540836935296,2.59797795796943,5.81994674315528,2.84361345207423,2.97156836195721,4.66568647238912,4.62792027708032,2.03681672825853,2.43638690322289,1.60965064929193,3.14836804755572,4.2378849737344,2.79448686921318,3.76529574978627,1.47788177019715,2.10918129232168,0.579202876383742,-0.874520066371068,4.08354650173718,2.82149376873971,3.23638215223959,2.21241639995912,2.72378344486637,2.05369270188615,1.36533446170034,2.00697516345179,1.24892802886801,1.97279259357522,1.28695970353725,1.75347204834087,0.919084588331235,1.69701414627088,0.972284451045201,-0.0928160773066527,1.67401692291024,0.709693689667644,1.04754618729214,1.61273095689274,-2.24969918391378,1.15387819688026,0.980182104799912,3.83853979440811,1.29024483439382,3.78140445507477,3.27128537164801,2.4094335545713,1.82661907827143
"USE-05-R1",5.50242756646596,4.37603371452904,1.6945624076353,5.38048466281485,2.04384955189448,2.56198990117905,4.67229526189401,5.25558569861325,1.31627536433443,1.78299067586333,1.06928996038264,2.3308800025619,3.21024231440989,1.94555628166141,3.14225963144647,0.793797382116661,1.88735164665952,0.579202876383742,0.134292882760749,3.92209397296654,1.99170365454424,2.33275522360675,1.30773899538078,1.85298802174157,1.14182096404748,0.533238207752352,1.08958489383903,0.306647524632905,1.11221583759861,0.50682835910284,0.876184550054321,-0.0629740400486561,0.704038071691162,-0.0696502894717068,-0.0220363174268173,0.528999848436424,0.709693689667644,-0.528529228021022,-1.41652776255884,-2.24969918391378,-0.886502503402452,1.02348270274648,2.87935098073159,0.844608265844085,2.83888039076934,0.389124279535885,1.42931397456567,0.952201309299396
"USE-05-R2",5.54801364140855,4.4134993011148,1.69968264285893,5.44392415886036,2.20925942054541,2.892047663231,4.70520334443643,5.27314066656957,1.29631389885608,1.84904407490381,0.0406764534616182,2.40358234078866,3.26695709852922,2.0169963365241,3.24083624259817,0.777452152166743,1.95419744837066,0.941159195306832,-0.874520066371068,3.894309565478,2.20542319341008,2.51602788924651,1.55058847013748,2.03173198236158,1.31106385587507,0.620436225819562,1.2206390689742,0.457975204902654,1.2442423884927,0.453768806138536,0.91183111189091,-0.131979443178226,0.929050741329328,0.00412131372492538,-0.558095146916614,0.538273385825663,0.709693689667644,0.382662957234962,-1.41652776255884,-2.24969918391378,-0.886502503402452,0.756258812687245,2.99242573814405,0.838284261639253,2.95004463636231,-0.00389181632399752,1.71992008317519,1.08697825252526
"USE-05-R3",5.53451094521149,4.42072833202052,1.58881608830744,5.38564499934239,2.07738456870844,2.54996214477712,4.9248815717509,5.32121281332908,1.16956294832563,1.75355252910608,1.11179925417748,2.29275182370509,3.21361240258632,1.93614234649157,3.24644591327868,1.00690928458914,2.14754567775235,0.919449423360358,-0.874520066371068,3.84342961790643,1.93617962223393,2.25142463794831,1.2706600870858,1.82282943555103,1.07403950454567,0.44982554291339,1.00892463220789,0.213752449059523,1.02460327311145,0.315803891022032,0.823963471580585,-0.0218401626303669,0.702948750606027,-0.145504526813488,-0.934885246522087,0.0793776909254363,1.4345749471406,0.110066064735312,-1.41652776255884,-2.24969918391378,-0.886502503402452,0.520984758234123,2.93293097087745,1.1763586148361,2.8935628727509,0.79657136627624,1.40307685623231,0.946312775152731
"USE-06-R1",6.50603185268241,5.45736201461472,3.0332461736618,6.38826194487243,3.00126968256993,3.56007209395228,5.2222769965835,4.2993113482118,2.77679110495366,2.98925762629529,2.3222668984405,3.71771525584704,4.79803645195052,3.28708785360934,4.09662711866031,1.88327294716149,3.77866173599483,0.579202876383742,1.08443333626191,4.74185144692768,3.31995317431971,3.6216421406406,2.67933250336451,3.19782197549267,2.47406067797765,1.90049468098248,2.43654661275777,1.63900141303362,2.37937387742792,1.7163074736078,2.18846708555278,1.33296557794004,2.06763511603704,1.22488289901804,0.246852568806822,2.18525548115874,0.709693689667644,1.33313332699958,1.01425837524026,0.648193430753685,1.34662309966804,1.49921304791279,3.61712325925612,1.61743138932964,3.56514661671469,0.909900561986399,2.84705008376463,2.3742009719864
