"File","Plastic_type","Category","Polymer","Source","PC1","PC2","UMAP1","UMAP2"
"USSB-28-R3","Plastic Cups","Unlabeled","Polystyrene","Store-Bought",-0.891553026217822,-2.14247425825889,-1.37611703902104,0.107228052678811
"USSB-30-R1","Plastic Cups","Unlabeled","Polystyrene","Store-Bought",6.5062508281343,-0.500703745174301,-0.281633223744507,-4.18340147197384
"USSB-30-R2","Plastic Cups","Unlabeled","Polystyrene","Store-Bought",7.29932116729514,-0.913713324357472,-0.133913909168868,-4.37158754113694
"USSB-30-R3","Plastic Cups","Unlabeled","Polystyrene","Store-Bought",7.89723394375837,-0.967031514961833,-0.195890789845308,-4.44624359474286
"USE-04-R1","Plastic Cups","Unlabeled","Polypropylene","Environmental",-0.134457578343862,0.859988520590266,-0.218546808397738,0.388629393479158
"USE-04-R2","Plastic Cups","Unlabeled","Polypropylene","Environmental",-0.405365141111752,0.856884341349272,-0.289825084039638,0.827462123740763
"USE-04-R3","Plastic Cups","Unlabeled","Polypropylene","Environmental",-0.196544774846856,0.953480939389426,-0.0830879131261166,0.60934715279896
"USE-16-R1","Shotgun shells","Unlabeled","Polyethylene","Environmental",-3.21900827815056,-0.216981560433411,0.696588184729157,2.22991703394718
"USE-16-R2","Shotgun shells","Unlabeled","Polyethylene","Environmental",-3.04326738658709,-0.0214370144111863,0.551916017470217,2.04344754066203
"USE-16-R3","Shotgun shells","Unlabeled","Polyethylene","Environmental",-3.74240623642802,-1.5380730756464,0.793116169907578,2.31644799657261
"USE-17-R1","Bottle Caps","Unlabeled","Metallised Mylar","Environmental",-1.09876815267985,1.34289373838243,0.0487856556471051,1.18886622301502
"USE-17-R2","Bottle Caps","Unlabeled","Metallised Mylar","Environmental",-1.7273241907443,1.20126907034035,-0.130719501737386,1.28680313273246
"USE-17-R3","Bottle Caps","Unlabeled","Polyethylene","Environmental",-1.25456320430748,1.81835941104554,0.148471402456767,0.798741192038058
"USE-18-R1","Mixed Plastic (Kamilo Beach)","Unlabeled","Polyethylene; Rubber","Environmental",-2.85285534323006,1.45562271759245,-0.368385898430062,1.73534705351595
"USE-18-R2","Mixed Plastic (Kamilo Beach)","Unlabeled","Polyethylene; Rubber","Environmental",3.21248020792368,-2.61140168678255,0.155507210510607,-1.06896759084699
"USE-18-R3","Mixed Plastic (Kamilo Beach)","Unlabeled","Polyethylene; Rubber","Environmental",1.02283720168045,-0.114042023755491,-0.0557944664454453,-0.780781839468762
"USE-19-R1","Mixed Microplastics","Unlabeled","Polyethylene; Polypropylene","Environmental",2.15477560449472,-1.35242369824292,0.0339640832126762,-1.00820531934384
"USE-19-R2","Mixed Microplastics","Unlabeled","Polyethylene; Polypropylene","Environmental",-0.619042073670643,-1.77936101446404,0.180755629069171,-0.80026265599286
"USE-19-R3","Mixed Microplastics","Unlabeled","Polyethylene; Polypropylene","Environmental",-0.742007460929919,-1.79573808019372,0.329604324374158,-0.577578568578808
"USE-20-R1","Hi Zex Buoy Island","Unlabeled","Polyethylene; Polypropylene; Rubber","Environmental",2.7390478046407,-0.388212889636302,0.373716742362612,-1.11503838112115
"USE-20-R2","Hi Zex Buoy Island","Unlabeled","Polyethylene; Polypropylene; Rubber","Environmental",1.87518099088251,1.04158880201352,-0.193095552829923,-0.904891794999638
"USE-20-R3","Hi Zex Buoy Island","Unlabeled","Polyethylene; Polypropylene; Rubber","Environmental",3.43907403891684,-0.217937691891629,0.318189090700624,-1.49318847896382
